test_id,description,period,variable_1,variable_2,sample_size_total,sample_size_used,pct_missing,contingency_table,chi_square,dof,p_value_raw,p_value_bonferroni_adjusted,significant,cramers_v,effect_size_category,relative_risk,odds_ratio,rr_95ci,or_95ci,interpretation
T011,District × Collision Severity,All,DISTRICT,ACCLASS,18351,18126,1.2260912211868562,"{""Fatal"": {""Etobicoke York"": 604, ""North York"": 563, ""Scarborough"": 763, ""Toronto and East York"": 647}, ""Non-Fatal Injury"": {""Etobicoke York"": 3578, ""North York"": 3110, ""Scarborough"": 3354, ""Toronto and East York"": 5490}, ""Property Damage O"": {""Etobicoke York"": 4, ""North York"": 6, ""Scarborough"": 5, ""Toronto and East York"": 2}}",139.2997345789397,6,1.40840213837501e-27,2.8168042767500204e-26,True,0.061988219014271456,Negligible,,,,,
T012,Pedestrian Involvement × Road Class,All,PEDESTRIAN,ROAD_CLASS,18351,7492,59.17388698163588,"{""Collector"": {""Yes"": 429}, ""Expressway"": {""Yes"": 26}, ""Expressway Ramp"": {""Yes"": 6}, ""Laneway"": {""Yes"": 8}, ""Local"": {""Yes"": 424}, ""Major Arterial"": {""Yes"": 5443}, ""Major Arterial "": {""Yes"": 5}, ""Minor Arterial"": {""Yes"": 1139}, ""Other"": {""Yes"": 10}, ""Pending"": {""Yes"": 2}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T013,Pedestrian Involvement × Traffic Control,All,PEDESTRIAN,TRAFFCTL,18351,7533,58.95046591466405,"{""No Control"": {""Yes"": 3452}, ""Pedestrian Crossover"": {""Yes"": 154}, ""Police Control"": {""Yes"": 2}, ""School Guard"": {""Yes"": 2}, ""Stop Sign"": {""Yes"": 493}, ""Streetcar (Stop for)"": {""Yes"": 16}, ""Traffic Controller"": {""Yes"": 22}, ""Traffic Gate"": {""Yes"": 5}, ""Traffic Signal"": {""Yes"": 3377}, ""Yield Sign"": {""Yes"": 10}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T014,Pedestrian Involvement × Light Conditions,All,PEDESTRIAN,LIGHT,18351,7559,58.80878426243802,"{""Dark"": {""Yes"": 1554}, ""Dark, artificial"": {""Yes"": 1536}, ""Dawn"": {""Yes"": 44}, ""Dawn, artificial"": {""Yes"": 64}, ""Daylight"": {""Yes"": 4042}, ""Daylight, artificial"": {""Yes"": 67}, ""Dusk"": {""Yes"": 116}, ""Dusk, artificial"": {""Yes"": 134}, ""Other"": {""Yes"": 2}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T015,Pedestrian Involvement × Time of Day,All,PEDESTRIAN,TIME_OF_DAY,18351,7563,58.78698708517247,"{""Unknown"": {""Yes"": 7563}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T016,Cyclist Involvement × Road Class,All,CYCLIST,ROAD_CLASS,18351,1962,89.30848455125061,"{""Collector"": {""Yes"": 134}, ""Local"": {""Yes"": 112}, ""Major Arterial"": {""Yes"": 1274}, ""Major Arterial "": {""Yes"": 3}, ""Major Shoreline"": {""Yes"": 1}, ""Minor Arterial"": {""Yes"": 438}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T017,Cyclist Involvement × Traffic Control,All,CYCLIST,TRAFFCTL,18351,1964,89.29758596261784,"{""No Control"": {""Yes"": 897}, ""Pedestrian Crossover"": {""Yes"": 13}, ""Stop Sign"": {""Yes"": 239}, ""Streetcar (Stop for)"": {""Yes"": 4}, ""Traffic Controller"": {""Yes"": 14}, ""Traffic Signal"": {""Yes"": 797}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T018,Cyclist Involvement × Weather Visibility,All,CYCLIST,VISIBILITY,18351,1970,89.26489019671952,"{""Clear"": {""Yes"": 1824}, ""Drifting Snow"": {""Yes"": 2}, ""Other"": {""Yes"": 9}, ""Rain"": {""Yes"": 131}, ""Snow"": {""Yes"": 4}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T019,Vulnerable Road User × Road Class,All,VULNERABLE_ROAD_USER,ROAD_CLASS,18351,17896,2.4794289139556427,"{""Collector"": {""No"": 428, ""Yes"": 563}, ""Expressway"": {""No"": 133, ""Yes"": 26}, ""Expressway Ramp"": {""No"": 8, ""Yes"": 6}, ""Laneway"": {""No"": 3, ""Yes"": 8}, ""Local"": {""No"": 298, ""Yes"": 534}, ""Major Arterial"": {""No"": 6286, ""Yes"": 6686}, ""Major Arterial "": {""No"": 5, ""Yes"": 8}, ""Major Shoreline"": {""No"": 3, ""Yes"": 1}, ""Minor Arterial"": {""No"": 1297, ""Yes"": 1571}, ""Other"": {""No"": 15, ""Yes"": 10}, ""Pending"": {""No"": 5, ""Yes"": 2}}",154.06073248655795,10,5.437703287680931e-28,1.0875406575361862e-26,True,0.09278291090749616,Negligible,,,,,
T020,Vulnerable Road User × Light Conditions,All,VULNERABLE_ROAD_USER,LIGHT,18351,18347,0.021797177265544112,"{""Dark"": {""No"": 1808, ""Yes"": 1779}, ""Dark, artificial"": {""No"": 1635, ""Yes"": 1797}, ""Dawn"": {""No"": 60, ""Yes"": 48}, ""Dawn, artificial"": {""No"": 28, ""Yes"": 73}, ""Daylight"": {""No"": 5095, ""Yes"": 5367}, ""Daylight, artificial"": {""No"": 57, ""Yes"": 92}, ""Dusk"": {""No"": 93, ""Yes"": 160}, ""Dusk, artificial"": {""No"": 77, ""Yes"": 172}, ""Other"": {""No"": 4, ""Yes"": 2}}",77.46477076123647,8,1.580737557676134e-13,3.161475115352268e-12,True,0.06497848622053545,Negligible,,,,,
